CAT,CNT,POS,NAME,CRD,ANNOUNCED2,RUNS2,4S2,6S1,6S2,S/R1,S/R2,BALLS FACED1,30/50/100_1,30/50/100_2,DUCK1,DUCK2,OVERS BOWLED1,WICK1,WICK2,LBW/BOW BONUS1,LBW/BOW BONUS2,2/3/4/5 WICK BONUS1,2/3/4/5 WICK BONUS2,MAIDEN OVER1,MAIDEN OVER2,E/R1,E/R2,CATCH1,CATCH2,CATCH BONUS1,CATCH BONUS2,RUNOUT/STUMPING1,RUNOUT/STUMPING2,TOTAL,OPPOSITE TEAM,DT
BW,BLR,9,HPL,9,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,9,0,0,0,0,0,0,0,29,PBKS,0
AR,BLR,7,WHG,9,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,10,-2,0,0,0,0,0,0,27,PBKS,0
BW,BLR,11,ADP,8,4,0,0,0,0,0,0,0,0,0,0,0,3,1,25,0,0,1,0,0,0,12.67,-6,0,0,0,0,0,0,23,PBKS,0
AR,BLR,8,SAD,8.5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,16,0,0,20,PBKS,0
BT,BLR,5,SRF,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,PBKS,0
BW,BLR,6,DWL,8.5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,4,PBKS,0
BT,PBKS,3,BRP,8,4,43,2,4,8,195.45,6,22,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,BLR,1
BT,PBKS,2,SDW,10.5,4,43,5,1,2,148.28,2,29,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,BLR,1
BT,PBKS,1,MAG,9.5,4,32,2,2,4,133.33,2,24,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,BLR,1
BT,PBKS,6,SKN,8.5,4,24,1,2,4,120,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,41,BLR,1
BW,PBKS,11,RCR,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,1,8,1,0,0,0,5.5,4,0,0,0,0,0,0,41,BLR,1
AR,PBKS,4,LLS,9,4,19,0,2,4,190,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,33,BLR,1
BW,PBKS,7,OSM,8.5,4,25,1,3,6,312.5,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,13,-6,0,0,0,0,0,0,30,BLR,0
